samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
15_minutes,3,GHI,25,0,31,25.07434910477245,74.95735830958196,0.2034286679530653,51.18943963300715,0.13892431313811823,0.9163177495115945,-6.825557833232828
15_minutes,3,GHI,25,1,28,25.06271850903455,76.0853974042158,0.20649008174345776,52.8488658756866,0.14342787193111117,0.9137801162497204,-10.098501212459166
15_minutes,3,GHI,25,2,34,24.566129065900498,77.20546007078272,0.20952984810425468,53.7836402571549,0.14596477973505706,0.9112229239875869,-15.406847192694093
15_minutes,3,GHI,25,3,42,24.332065860095906,78.20106335380314,0.21223184100050982,54.05870931279315,0.14671129659271484,0.908918510696972,-12.836021510951058
15_minutes,3,GHI,25,4,35,26.871565553701355,74.36860916599959,0.2018308467819561,50.42121662983795,0.1368394133264124,0.9176271437689225,-7.63394758832936
15_minutes,3,GHI,25,5,29,24.301799632368194,75.07535872338774,0.20374891225649017,50.95578787069293,0.1382901997189105,0.9160540712596763,-8.344346317129624
15_minutes,3,GHI,25,6,32,27.45559215973093,76.80405584455735,0.2084404670362279,53.77406527454193,0.14593879394790346,0.9121436582464361,-12.020611956696339
15_minutes,3,GHI,25,7,27,24.50714298409917,75.16847921492682,0.20400163431047041,51.588124466326754,0.14000631397705293,0.9158456957212435,-9.485107841125211
15_minutes,3,GHI,25,8,36,25.28244745167082,74.3964021860567,0.20190627496107175,49.92298344039489,0.13548724568945003,0.9175655635332205,-4.427270123954632
15_minutes,3,GHI,25,9,21,25.8884580128033,76.50180413964408,0.20762017850013645,53.2071902597567,0.14440033752742296,0.9128337904944057,-11.694122405008349
