samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
15_minutes,1,GHI_season,20,0,24,40.59467997401809,85.66638475532132,0.23249216530756614,59.02030998425791,0.16017670997271233,0.8906986099509049,31.390002680704022
15_minutes,1,GHI_season,20,1,22,34.123014214690706,77.80246213143595,0.21115006707545067,53.33209738831661,0.14473932613846552,0.9098446532638166,-1.1426011718012563
15_minutes,1,GHI_season,20,2,13,54.96555608921189,92.8059542936225,0.2518684234053549,68.50850038735355,0.18592694955579628,0.8717207276119264,11.825681112303643
15_minutes,1,GHI_season,20,3,23,34.30541532397105,79.2862074110111,0.2151768408654101,52.9290438353663,0.14364546892098204,0.9063732184219531,18.88759023328382
15_minutes,1,GHI_season,20,4,26,53.064330060446096,94.23728337187124,0.2557529435426315,69.8834154048698,0.1896583661487719,0.8677333596779768,42.40075020136733
15_minutes,1,GHI_season,20,5,22,49.504015498582746,99.1006019429605,0.26895162664805816,72.11260681067401,0.19570822500882198,0.8537292827024427,41.847736994810745
15_minutes,1,GHI_season,20,6,21,38.156392932590364,81.69698143050984,0.22171950136709154,55.57232811645235,0.15081914489421697,0.9005930321436718,11.041083424359009
15_minutes,1,GHI_season,20,7,36,32.894533712992825,79.41278889774985,0.21552037355940434,52.39938208048718,0.14220800650647522,0.9060740269718695,17.650241996109916
15_minutes,1,GHI_season,20,8,14,55.3423428049972,85.75754669360103,0.23273957199438758,62.7417964808943,0.17027654617143925,0.8904658598875549,10.540139321925698
15_minutes,1,GHI_season,20,9,33,24.645994255965533,73.78190805284495,0.20023858381235285,48.88372268166857,0.13266676966719723,0.9189217118371239,-5.406461449258204
