samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
1_hour,4,GHI,20,0,48,46.395416584094804,81.87784875523427,0.2344237031626379,56.2864488537726,0.16115320540016348,0.8961213645116873,5.335644176372538
1_hour,4,GHI,20,1,0,39.080692235046996,80.2166794396919,0.229667624828268,53.80009238661532,0.15403454144801462,0.900293665629445,-6.486042585731485
1_hour,4,GHI,20,2,40,45.55270624125038,82.44970470682519,0.2360609785904314,55.183348329825776,0.15799492860472278,0.8946652671198174,9.347020521006751
1_hour,4,GHI,20,3,0,46.874718810918395,86.27426930113865,0.24701105371836832,59.03134033561659,0.16901207853539976,0.8846663680327791,13.256905557381662
1_hour,4,GHI,20,4,37,46.528499777681795,83.80168070552068,0.23993180843048556,56.913710577385395,0.16294911257575462,0.8911824742717809,6.441903245656057
1_hour,4,GHI,20,5,0,38.386924522092855,81.32690879298117,0.2328463121083401,54.52654865307582,0.15611445159170276,0.897514619089524,-11.917548092087802
1_hour,4,GHI,20,6,40,48.129070152736155,85.91488205970754,0.24598209546791966,57.792507985894936,0.16546518921875955,0.8856252426666991,20.44664989095848
1_hour,4,GHI,20,7,0,38.43113213756688,79.61490102528546,0.22794467867698087,52.25181645723984,0.1496016871119562,0.9017840304433918,-1.3137697266192367
1_hour,4,GHI,20,8,29,44.00371896188112,84.0907283762566,0.24075937811379527,57.254112044411976,0.1639237128330344,0.8904305156833189,-1.1655197867241456
1_hour,4,GHI,20,9,0,40.026388446068864,80.15961577987251,0.22950424639741956,52.66571241452195,0.15078670875706768,0.9004354711661628,1.8729151404554598
