samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
1_hour,3,GHI_d1_d2_d3,15,0,0,39.99196453050829,91.62527001724732,0.26236288971670846,68.72325814851479,0.19678449618972657,0.8698678911477997,-28.272507275021827
1_hour,3,GHI_d1_d2_d3,15,1,44,42.9884174332136,86.26189841474424,0.24700523050334558,58.446982979039156,0.16735906313528454,0.8846568105859733,2.3898863083416435
1_hour,3,GHI_d1_d2_d3,15,2,0,37.52896764533216,85.41587187108469,0.2445826895522545,58.92492518818258,0.16872761898330388,0.8869082070825279,-16.154609903911275
1_hour,3,GHI_d1_d2_d3,15,3,0,58.48593791481904,85.38594905800797,0.24449700755965809,61.4578086179638,0.17598036285874216,0.8869874296382804,-0.4126100402549648
1_hour,3,GHI_d1_d2_d3,15,4,32,58.27474522945326,92.04618799935933,0.2635681604689785,64.58693287454794,0.18494040283554689,0.868669515194083,5.125118048519267
1_hour,3,GHI_d1_d2_d3,15,5,0,55.97326126353261,85.91776340959436,0.246019822718061,57.778770250542685,0.16544568026218828,0.8855752798642477,19.409885174881637
1_hour,3,GHI_d1_d2_d3,15,6,0,57.85274762142487,91.36993376688423,0.2616317512820596,64.12142978463132,0.18360746558123273,0.8705921705199533,32.241392170664554
1_hour,3,GHI_d1_d2_d3,15,7,0,62.499404732929776,87.80899913807018,0.25143525091559865,61.762226462045426,0.17685204318491804,0.8804823660936127,17.495609111898794
1_hour,3,GHI_d1_d2_d3,15,8,0,40.34015961368584,92.72069076460416,0.2654995544455336,66.08395725998703,0.1892270329722575,0.8667377168490766,-8.879859529224337
1_hour,3,GHI_d1_d2_d3,15,9,0,67.86184834608434,89.48019194058908,0.2562206007744322,63.4256537895068,0.18161515712045523,0.8758897224582187,18.85570019219254
