samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
1_hour,1,GHI_season,15,0,0,38.19255608355102,91.403982049713,0.26172924628394245,63.51041903745338,0.1818578767915092,0.8704957069427448,-27.066186535461174
1_hour,1,GHI_season,15,1,0,61.79399332927947,86.36244668711815,0.24729314381908343,63.2161693004241,0.18101531216615144,0.8843877620769482,9.71845090817062
1_hour,1,GHI_season,15,2,0,60.36317449157299,86.30448422399759,0.2471271721464592,59.4077969920294,0.17011029039912753,0.8845428971287401,22.926416331297375
1_hour,1,GHI_season,15,3,0,37.58793001583045,83.75695810802478,0.23983249990931768,58.499738828202275,0.16751012601382545,0.8912583984017322,-13.383323267490201
1_hour,1,GHI_season,15,4,0,40.556887795350896,85.44662338063421,0.24467074446229237,58.69129066520609,0.1680586220070968,0.8868267615782197,-16.06150748680529
1_hour,1,GHI_season,15,5,45,40.66280777161605,84.6771902917339,0.24246752379391626,54.720065573892455,0.1566872820866096,0.888855798273779,8.41015601957608
1_hour,1,GHI_season,15,6,0,38.42720186480753,86.82136261687563,0.248607219176739,61.39579678935698,0.17580279609635402,0.8831558084687183,-20.064308550736765
1_hour,1,GHI_season,15,7,0,53.292517541876585,83.60329537602469,0.23939249685773903,58.03845978830084,0.16618928404684946,0.8916570328336964,7.195363347165827
1_hour,1,GHI_season,15,8,34,45.15871350898518,90.720865831571,0.25977318825573315,59.28544004277076,0.16975992938214637,0.8724241984517224,10.432498408023978
1_hour,1,GHI_season,15,9,0,51.56978947646328,83.6952040690498,0.23965567131045948,59.07597952119157,0.16916015305720083,0.8914186897418882,4.862123234197481
