samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
1_hour,4,GHI_season_d1_d2_d3,20,0,0,52.21557312509057,99.2176743982832,0.28406919582316825,71.71090036475454,0.2053148082931044,0.8474643083684545,-14.888222683157595
1_hour,4,GHI_season_d1_d2_d3,20,1,0,86.04813165179091,99.79815836664055,0.28573117404508847,75.66361543313863,0.21663178984506684,0.8456742332857028,15.137929440384397
1_hour,4,GHI_season_d1_d2_d3,20,2,0,77.14083893163594,103.4099016193614,0.29607192237992264,74.23057799418139,0.21252887375337381,0.8343018578405886,30.269721001538638
1_hour,4,GHI_season_d1_d2_d3,20,3,0,87.88691348201817,98.90196492850687,0.2831652909923303,75.31950003421578,0.21564655626410242,0.8484334974806862,24.34028209678517
1_hour,4,GHI_season_d1_d2_d3,20,4,0,56.64472585103607,97.97946966072384,0.28052410341704137,68.03403842170304,0.19478761924488455,0.8512477450609913,6.114967401159567
1_hour,4,GHI_season_d1_d2_d3,20,5,14,153.4833300275721,197.2334648434249,0.5646972889384547,160.3534063516086,0.45910633832186837,0.39722588038659934,33.836658615822294
1_hour,4,GHI_season_d1_d2_d3,20,6,38,76.36986910088184,104.70801298322213,0.299788532887649,76.95202631602248,0.2203206269964138,0.8301157076445607,19.348885465141173
1_hour,4,GHI_season_d1_d2_d3,20,7,0,52.37686853152253,103.91962002774608,0.29753129238878673,74.39677551447976,0.21300471231969056,0.8326643444760822,-13.945469628693916
1_hour,4,GHI_season_d1_d2_d3,20,8,0,67.89038445551022,114.80941456236202,0.3287097612945386,85.47162406064982,0.24471300763555368,0.7957564295448797,2.3639982247270135
1_hour,4,GHI_season_d1_d2_d3,20,9,0,53.43964874203155,126.59828999044626,0.3624623802994177,96.40343900661871,0.2760117847881333,0.7516586325087958,-53.14477010374535
