samplingFrequency,polynomialAugmentation,features,history,nbIter,nbEpoch,MAPE_min,MAPE_med,MAPE_max,MAPE_std,MAPE_CI,MAPE_mean,RMSE_min,RMSE_med,RMSE_max,RMSE_std,RMSE_CI,RMSE_mean,nRMSE,MAE_min,MAE_med,MAE_max,MAE_std,MAE_CI,MAE_mean,nMAE,R2_min,R2_med,R2_max,R2_std,R2_CI,R2_mean,MBE_min,MBE_med,MBE_max,MBE_std,MBE_CI,MBE_mean
1_hour,1,GHI,5,10,0,35.2882807,37.95105795,41.07311846,2.055304264,0.142885297,37.95058508,80.58364516,81.35985504,83.37947067,0.886991742,0.031457507,81.65511485,0.233862327,52.36948179,53.27140635,55.09107037,0.780728183,0.045049521,53.47867847,0.153164296,0.89220991,0.897368432,0.899317408,0.002254124,0.007279442,0.896611205,1.33380286,4.700933578,6.932529323,1.544125497,1.079530637,4.544390439
1_hour,1,GHI,10,10,9.5,38.32113154,45.17107129,60.09525027,7.158292821,0.427509645,47.06339386,86.0281857,90.46756746,106.9249726,6.287920417,0.205303242,92.09599608,0.263710783,57.64728426,64.18580698,82.08482554,6.982522206,0.331961668,64.98461331,0.186079134,0.822780206,0.873117834,0.885280971,0.018774083,0.064727795,0.867975763,-28.29220531,-5.564608171,13.49888753,14.3425606,-12.02516502,-3.229855802
1_hour,1,GHI,15,10,19.3,33.64179736,43.67596538,63.9492097,8.414845647,0.596834013,44.85806414,82.56116085,87.15449736,91.23633436,2.648100515,0.089615277,86.96805549,0.249027264,54.91797861,58.97093947,64.43931963,3.066942508,0.15128153,58.97859321,0.168881294,0.870970329,0.882255851,0.894341239,0.007136228,0.023794972,0.882662808,-21.20071522,-5.495319183,31.13491332,16.17756639,-68.94373912,-0.689094583
1_hour,1,GHI,20,10,15.8,38.94584765,44.34774033,64.01613194,7.664282285,0.483547238,46.63203944,84.54851382,89.19444541,103.5011361,6.130329048,0.195250837,90.49383935,0.259092065,57.14577152,62.64639839,73.11222498,5.340065396,0.240655825,63.00771616,0.180396803,0.834009351,0.876720729,0.889234288,0.017800758,0.058749057,0.872584738,-27.23303473,-4.552139865,11.21896567,13.14052093,-6.779316714,-5.5043221
1_hour,1,GHI,25,10,8.8,36.72297625,43.15901591,75.83531393,11.26166776,0.72105621,46.21697039,83.26427605,86.08973131,105.2694942,6.895507445,0.221373577,88.95413792,0.25468376,55.27702319,58.52967506,76.07528425,7.105285378,0.318925345,61.16247957,0.175113723,0.828288864,0.885158497,0.892573653,0.020049771,0.065176412,0.876726971,-16.54386552,-4.079849116,20.74591783,11.89336466,-167.5034784,-0.207727785
1_hour,1,GHI_d1,5,10,13.4,35.04294655,36.92887042,42.43040248,2.264593782,0.173654617,37.76379143,79.84299143,81.14760272,84.37041897,1.501381991,0.05252125,81.72546777,0.234063819,52.32849898,53.88554637,56.38165254,1.332725593,0.070392856,54.17957469,0.155171681,0.889632557,0.89790282,0.901159674,0.003836688,0.012204835,0.896412514,-8.931683465,2.065943623,7.761481144,5.052891092,36.29475696,0.406372969
1_hour,1,GHI_d1,10,10,23.2,36.08832625,41.50642055,49.96317487,4.435812396,0.304802978,42.42092746,81.44006111,85.82564212,95.33402234,3.719831436,0.136629006,86.55167233,0.247834979,54.25993151,57.89795767,67.1292524,3.734465789,0.194236935,58.70441349,0.168096198,0.859119862,0.885817683,0.897191242,0.010231996,0.036604089,0.883687541,-21.38552393,0.506724767,11.68541161,9.735179619,21.36686209,1.343958613
1_hour,1,GHI_d1,15,10,17.4,33.67780655,46.49173165,89.06834413,17.32225306,0.996545612,50.41358639,81.66520235,83.82612059,97.86198138,4.73346918,0.161513313,85.36577782,0.244439249,53.10974831,56.86290316,75.14106956,6.750858723,0.335210272,58.64242288,0.167918692,0.851549405,0.891076489,0.896622026,0.013214679,0.043092178,0.886728243,-7.946842709,0.613306125,24.4065106,9.853164781,7.754428982,3.815562206
1_hour,1,GHI_d1,20,10,11.6,32.62709322,41.35379425,65.24207621,8.965563414,0.639763987,43.7275306,82.39988414,85.20347268,96.08058582,5.48931265,0.151309956,88.11637282,0.252285163,53.41139367,57.02722078,71.98850039,6.116615872,0.284236685,60.12463091,0.172142269,0.856957638,0.887508477,0.894792527,0.015216517,0.04195924,0.879268431,-23.33825975,-4.782920535,23.41234705,12.81404099,-8.286036885,-4.934345491
1_hour,1,GHI_d1,25,10,3.3,40.00198174,44.53132407,61.09680183,6.434570597,0.405869393,47.05170188,81.45889208,84.34868127,93.68531125,3.444627998,0.122154954,84.85673283,0.242952518,53.74698677,57.5062728,62.38749404,2.624084524,0.134230711,57.18704199,0.163731685,0.864000786,0.889753687,0.897181708,0.009366769,0.03155918,0.888259759,-10.19909696,2.686032825,18.67611986,9.761712822,8.429797791,3.313839672
