samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
30_minutes,3,GHI_d1_d2_d3,10,0,27,32.35651230004951,77.9827052098828,0.2157630269791811,52.925299146105274,0.146434042225239,0.9078143103697157,-9.499770755482533
30_minutes,3,GHI_d1_d2_d3,10,1,33,33.0329220380237,79.47403553385017,0.21988924886464944,55.68227821498656,0.15406206881932905,0.9042547036190357,-10.37990925402456
30_minutes,3,GHI_d1_d2_d3,10,2,28,30.278461338908443,79.99773494619113,0.22133822361013678,55.80215511020194,0.15439374494811842,0.9029887062069812,-15.746148762252094
30_minutes,3,GHI_d1_d2_d3,10,3,32,29.81721960275519,80.03212603358133,0.22143337708162053,56.04749094625295,0.15507254164374942,0.9029052778191897,-17.534544766712077
30_minutes,3,GHI_d1_d2_d3,10,4,32,42.75930014526533,84.13580772348652,0.2327874687457909,60.98701773903372,0.16873925466411382,0.8926928520193986,-14.089155694552487
30_minutes,3,GHI_d1_d2_d3,10,5,37,36.31807387608519,79.23885427016047,0.21923854790209746,55.3291389758509,0.15308500100697292,0.9048205282310862,-11.702055483467916
30_minutes,3,GHI_d1_d2_d3,10,6,40,30.74931436612073,79.1671992394293,0.21904029232366842,55.31278539019945,0.15303975380590923,0.9049925903933478,-15.781407758835057
30_minutes,3,GHI_d1_d2_d3,10,7,32,42.10054280793255,78.56561023534687,0.21737581217811733,54.05331013604641,0.1495550299493817,0.9064310207634826,0.2556049778882083
30_minutes,3,GHI_d1_d2_d3,10,8,25,35.19441389016193,81.73949175654414,0.22615732703379876,58.36439665105202,0.1614829705554849,0.8987183468329009,-15.804513510131178
30_minutes,3,GHI_d1_d2_d3,10,9,36,38.912960029135505,85.58081782957007,0.23678553156837404,63.1149921763039,0.17462694738628867,0.8889752560542468,-22.306533657782403
