samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
30_minutes,3,GHI_season_d1_d2,15,0,14,49.14730558876855,86.54965539847115,0.23946611729510203,60.63307701812009,0.16775996930705955,0.8864472643209746,-1.1570596942979383
30_minutes,3,GHI_season_d1_d2,15,1,32,34.94834939617022,78.48747950065194,0.21715963958225118,50.70415317004464,0.1402885619181935,0.9066170303418918,5.81093378698256
30_minutes,3,GHI_season_d1_d2,15,2,33,44.122892131958054,84.00128463224867,0.23241526943203336,56.45715875588351,0.1562060130515946,0.8930357202819906,16.803946091320032
30_minutes,3,GHI_season_d1_d2,15,3,30,31.29960675966962,78.90252212101983,0.21830798204940371,52.10797214046692,0.14417265685403732,0.9056267988095009,-0.745312967534647
30_minutes,3,GHI_season_d1_d2,15,4,31,38.360155880384404,82.11782335565927,0.22720409722223034,55.99916431741014,0.15493883123071925,0.8977786119113865,-7.3297126486164155
30_minutes,3,GHI_season_d1_d2,15,5,22,41.096947885392225,84.53674013651468,0.23389677100474945,59.232028376431266,0.1638835393337436,0.8916677136508536,9.91926322519802
30_minutes,3,GHI_season_d1_d2,15,6,14,61.53601082219269,91.98703729941853,0.25451029888168214,69.95315320586128,0.1935468132557455,0.8717314520756466,-0.4972636370282532
30_minutes,3,GHI_season_d1_d2,15,7,27,42.073942051293464,82.04331465312755,0.22699794608716434,56.80685717672605,0.1571735607867976,0.8979640266573155,4.732415521807412
30_minutes,3,GHI_season_d1_d2,15,8,14,67.2685073568953,106.57527236862468,0.2948731171289371,82.82267098153511,0.22915427395576057,0.8278211440029479,-14.329456186415893
30_minutes,3,GHI_season_d1_d2,15,9,14,55.028825782709845,92.83796238612672,0.2568646436296175,70.23459807499673,0.19432551664554182,0.8693473823261391,-16.134141881216397
