samplingFrequency,polynomialAugmentation,features,history,nbIter,nbEpoch,MAPE_min,MAPE_med,MAPE_max,MAPE_std,MAPE_CI,MAPE_mean,RMSE_min,RMSE_med,RMSE_max,RMSE_std,RMSE_CI,RMSE_mean,nRMSE,MAE_min,MAE_med,MAE_max,MAE_std,MAE_CI,MAE_mean,nMAE,R2_min,R2_med,R2_max,R2_std,R2_CI,R2_mean,MBE_min,MBE_med,MBE_max,MBE_std,MBE_CI,MBE_mean
45_minutes,1,GHI,5,10,0,37.51184184,39.32544719,43.97849695,1.802074785,0.139713264,39.63969915,79.41446708,79.8693838,81.00814174,0.481821984,0.017898815,80.014931,0.222570971,52.89826671,54.20963833,56.85600682,1.220123989,0.067612693,54.54606665,0.15172632,0.898709058,0.901536796,0.902655253,0.001192802,0.003933753,0.901174388,-7.772270909,-2.842998026,7.561405417,4.732752792,-6.943148158,-2.083340631
45_minutes,1,GHI,10,10,31,34.97867468,44.50141948,57.82779446,7.071589322,0.482374921,44.03074826,84.12750559,86.73489211,90.77984595,2.490426713,0.075082997,87.2450309,0.242661719,55.88548643,62.43140401,69.63684958,3.960587804,0.196311404,62.2025712,0.173009084,0.87283578,0.883915031,0.890790084,0.006720832,0.020033045,0.882459963,-13.81893309,-4.51635036,7.163350477,6.21540264,-4.427567608,-4.349156688
45_minutes,1,GHI,15,10,25.2,37.67242956,39.80723824,46.40440426,2.661688497,0.191604334,40.407684,81.72852344,85.39253035,94.68640372,3.422871699,0.125099576,86.20280474,0.239762891,54.78211596,59.31063554,66.18005833,3.672550933,0.176470166,59.44910915,0.165350655,0.861655693,0.887479584,0.896929744,0.009365061,0.033106567,0.885172829,-23.12765111,-5.869897159,7.651960014,11.7249454,-4.582859348,-6.389283428
45_minutes,1,GHI,20,10,11.4,33.75118608,36.70645573,52.68169942,6.375480457,0.455242649,39.01772093,81.784237,83.96005359,93.99327627,4.557278542,0.140208525,85.63718716,0.238191253,54.36372454,56.5116833,68.71494442,4.821850703,0.229150956,58.50953758,0.162738415,0.863719466,0.891258452,0.896823815,0.01235624,0.036690949,0.886584988,-20.3979327,-6.110619148,22.33157815,12.80062726,-12.16659462,-3.2362519
45_minutes,1,GHI,25,10,24.5,38.18566431,41.34995192,65.01742716,7.937966541,0.518993371,44.18241746,80.58281584,84.35109104,94.50527102,4.838038263,0.158147934,85.95590517,0.239077736,53.4936121,57.74500331,73.68045299,6.885584205,0.325218485,60.31975656,0.167773358,0.862230743,0.890241786,0.899832893,0.01312557,0.041461989,0.885704747,-18.52807554,-1.33286274,14.21619846,8.826628947,-25.33959145,-1.120966119
45_minutes,1,GHI_d1,5,10,20.7,34.39486343,40.29392381,45.92906483,3.129770888,0.252661488,40.63778635,80.66489189,83.55234717,107.6505377,8.462581986,0.273750547,87.53733631,0.243495429,53.27532495,59.6620709,82.15726278,8.4812312,0.410903248,62.66886241,0.174320834,0.821126635,0.892246658,0.899565625,0.024464456,0.078432153,0.880728243,-37.86595855,-7.702309385,18.03261693,14.05767764,-6.761414742,-6.969350718
45_minutes,1,GHI_d1,10,10,25.5,32.79104011,41.17648011,51.42324876,5.902146692,0.414001903,41.29981165,83.66444628,88.39425561,91.50906667,2.553777353,0.084317875,88.137765,0.245144753,55.83294616,59.32558951,67.51447218,4.260195833,0.182249208,60.98517068,0.169623028,0.870784593,0.879422262,0.891989014,0.006923899,0.022865977,0.880039535,-18.13489796,-0.966669139,5.274866726,8.134347929,-7.001429699,-3.202988238
45_minutes,1,GHI_d1,15,10,25.5,34.92129381,42.13614779,47.1804941,3.699088597,0.268344288,41.84388625,81.99619941,88.74917031,93.83825235,4.63587902,0.130729323,88.45697316,0.246032593,55.61820926,60.99446025,66.59092303,4.503355654,0.174431071,60.88179128,0.169335491,0.864123025,0.878440235,0.89625349,0.012624777,0.035746215,0.878961806,-16.93807413,-5.68754594,6.832292871,7.135590464,-4.383916904,-5.060345803
45_minutes,1,GHI_d1,20,10,21.5,34.161426,40.74639904,57.05421155,7.098281175,0.497259585,41.75066674,80.56306872,84.92491779,88.83241236,2.829994776,0.093153113,85.04370223,0.236540535,51.89102236,58.34612447,65.55614682,3.916447892,0.210689986,58.00502284,0.161335158,0.878274052,0.888739942,0.89988198,0.007413083,0.023327176,0.888324687,-14.34778261,3.128521999,13.78843084,8.661589836,11.05535574,2.425922067
45_minutes,1,GHI_d1,25,10,14.5,36.28720978,40.85432274,48.83455348,4.457677944,0.297387823,41.51230702,81.47084762,85.75353482,90.18397726,3.318741332,0.098613495,86.01070716,0.239230162,54.19096179,57.48183396,65.55454602,3.180467864,0.170150783,58.47858504,0.162652323,0.874541809,0.886559978,0.897613023,0.008809876,0.025366685,0.885731421,-5.608706723,4.067144909,19.69228745,9.620167552,4.157590386,5.865428404
