samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
4_hours,4,GHI_d1_d2_d3,20,0,14,85.40752360570272,265.49618570573466,0.822247991285697,195.75482401848015,0.6062573381452679,-0.3955972426914378,-141.4426030962447
4_hours,4,GHI_d1_d2_d3,20,1,14,79.95299831005332,277.19572695845164,0.8584817483486819,203.6639997817334,0.6307522432858959,-0.5213060521241331,-162.32449640840983
4_hours,4,GHI_d1_d2_d3,20,2,14,83.99810587221833,268.3225403121572,0.8310012786130253,197.60087170120048,0.6119745916526942,-0.42546922094059303,-146.6118194404872
4_hours,4,GHI_d1_d2_d3,20,3,14,85.55977954087876,265.2206134884796,0.8213945375854498,195.58031872472114,0.6057168911069022,-0.39270162116868357,-140.91993888507977
4_hours,4,GHI_d1_d2_d3,20,4,14,83.41412322409843,269.46171071147313,0.8345293163890852,198.34388753300817,0.6142757293265683,-0.437598648409808,-148.71443998669008
4_hours,4,GHI_d1_d2_d3,20,5,14,89.22544740701167,258.9061315548667,0.8018384371009113,191.76033276905642,0.5938863038973886,-0.32717502980444624,-128.6468261108034
4_hours,4,GHI_d1_d2_d3,20,6,14,82.26774872753508,271.9060645303058,0.8420995382067137,199.98234162582196,0.6193500605567848,-0.46379857059722407,-153.07311555138637
4_hours,4,GHI_d1_d2_d3,20,7,14,79.29366760382548,278.91342057433604,0.863801486263375,204.87897181929864,0.634515040535509,-0.5402185664923853,-165.1868120026007
4_hours,4,GHI_d1_d2_d3,20,8,13,94.81354684223372,251.0535010599764,0.7775186539990597,187.68946946667364,0.5812787435880558,-0.24788939781225872,-111.92201999233303
4_hours,4,GHI_d1_d2_d3,20,9,14,81.16764846668761,274.4255574968495,0.8499024677489675,201.72817489156387,0.6247569476352571,-0.4910514892146458,-157.47590726552292
