samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
5_days,5,GHI_d1_d2_d3,5,0,15,38.57373571084837,173.41424785237683,0.4823996453061478,151.1272716539617,0.42040226304829403,-2.8227663247700665,-149.0167024897916
5_days,5,GHI_d1_d2_d3,5,1,23,37.77756246179783,170.62614755080392,0.4746437739563976,148.1965417993825,0.41224962818786043,-2.7008319853136378,-145.7635340882893
5_days,5,GHI_d1_d2_d3,5,2,27,39.676096137768724,177.30801704540275,0.4932312401772838,155.18851216580308,0.43169972566556986,-2.9963631347129476,-153.5306013459603
5_days,5,GHI_d1_d2_d3,5,3,26,37.46918381193055,169.54575302982042,0.4716383580798612,147.05950372167234,0.40908664260749517,-2.654113472659644,-144.4997189397492
5_days,5,GHI_d1_d2_d3,5,4,22,36.515728363899335,165.9790326249293,0.46171653977753596,143.43653141983967,0.3990083441112501,-2.5019880239068115,-140.30121339790713
5_days,5,GHI_d1_d2_d3,5,5,25,37.62469683210226,170.08979861709284,0.47315177120237467,147.632220252624,0.41067981188172475,-2.6776020457532215,-145.13324942962953
5_days,5,GHI_d1_d2_d3,5,6,25,36.46039308039402,165.76910021219192,0.4611325547665178,143.22363458449138,0.3984161127396603,-2.4931349073346807,-140.0468427063208
5_days,5,GHI_d1_d2_d3,5,7,24,36.81537990527901,167.13129548438565,0.46492187729498363,144.5894496736123,0.40221550478907603,-2.5507799385153263,-141.65576426226772
5_days,5,GHI_d1_d2_d3,5,8,26,38.6573031513715,173.70980898924122,0.4832218302728124,151.4358369995304,0.42126062281457355,-2.835808205961567,-149.36073887279377
5_days,5,GHI_d1_d2_d3,5,9,24,38.6079092719702,173.5377089369981,0.48274308642570973,151.25422887272447,0.4207554296309634,-2.828211446931869,-149.15740345687158
