samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
5_days,2,GHI_season_d1_d2,10,0,0,19.67418594246068,75.98826086390422,0.21138234338958908,64.64068815291189,0.1798159345237596,0.26599129857272485,8.857343355539275
5_days,2,GHI_season_d1_d2,10,1,0,21.452729071541647,79.78158209209806,0.2219345144924545,67.74625263056478,0.18845492019563148,0.19087897413784938,24.42055954093074
5_days,2,GHI_season_d1_d2,10,2,28,23.560565080824993,87.94063977792548,0.24463118781900897,71.55080340145143,0.19903832937425509,0.01692321594706414,44.66920121455737
5_days,2,GHI_season_d1_d2,10,3,0,20.202396702276246,76.9195046584191,0.21397285530963586,65.77101775697527,0.1829602586311039,0.2478903584348543,11.94652463280411
5_days,2,GHI_season_d1_d2,10,4,0,20.363646041088394,77.2670404052325,0.2149396220146226,66.15033326102022,0.18401542951167754,0.2410786796903448,12.382012797027809
5_days,2,GHI_season_d1_d2,10,5,0,21.77763554252003,80.7202208019387,0.22454559741271832,68.27310567047459,0.1899205074973007,0.17172818941660806,27.5557346675405
5_days,2,GHI_season_d1_d2,10,6,0,20.525527106803754,77.40747899032081,0.21533029074267063,66.21628867816051,0.18419890272814346,0.23831738079600973,15.234309048008765
5_days,2,GHI_season_d1_d2,10,7,0,20.863229046909183,78.256912437865,0.217693224578161,66.63751905204852,0.1853706714003966,0.22150896300275846,19.518693553614742
5_days,2,GHI_season_d1_d2,10,8,0,20.291106602564245,76.94312436807883,0.21403856005825483,66.12850412947971,0.18395470575083958,0.24742838617076168,10.89681303918194
5_days,2,GHI_season_d1_d2,10,9,27,21.122905098386585,79.1788941637037,0.22025797149504617,67.13964158290783,0.186767463958024,0.2030573632615288,21.66666841926937
