samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
6_days,3,GHI_d1_d2_d3,15,0,19,36.34175658223007,164.88982474575872,0.4607815714569374,141.71245021233574,0.3960128261676296,-2.3199824731976375,-137.90470664822024
6_days,3,GHI_d1_d2_d3,15,1,19,33.908689180649056,156.91815711581873,0.4385048934186182,132.86141564174224,0.3712787734463888,-2.0067303142093444,-128.2416907881908
6_days,3,GHI_d1_d2_d3,15,2,19,36.95770827511557,166.92888598873682,0.4664796904602481,143.94134589888088,0.40224143401922646,-2.402601337292862,-140.26578370414742
6_days,3,GHI_d1_d2_d3,15,3,24,36.68429313651095,166.03076173931763,0.4639698988242327,142.95901922442894,0.3994963402607975,-2.366085933787886,-139.23657784916978
6_days,3,GHI_d1_d2_d3,15,4,23,30.584615236147094,144.4716493455308,0.40372335721171665,119.95346424639249,0.33520774154730243,-1.548668433000013,-112.67198898443539
6_days,3,GHI_d1_d2_d3,15,5,23,38.37606543508935,171.48442832498912,0.47921006942555744,149.02314067305542,0.41644241570791635,-2.590851606748082,-145.67453475082957
6_days,3,GHI_d1_d2_d3,15,6,19,35.89027342662131,163.5258319155538,0.4569699186716494,140.1107545766867,0.3915369172804194,-2.2652828897813224,-136.17436542283025
6_days,3,GHI_d1_d2_d3,15,7,23,30.427428929469087,143.82045641270776,0.4019036105816835,119.31357191046229,0.33341957422668217,-1.5257444273316008,-111.87422569287696
6_days,3,GHI_d1_d2_d3,15,8,19,37.80650437807883,169.6385445956003,0.4740517814179983,146.97311038626478,0.41071364391415527,-2.5139627527703747,-143.47305590497223
6_days,3,GHI_d1_d2_d3,15,9,23,38.591204896311126,172.15963487809523,0.48109692167419055,149.78726188420322,0.4185777383271207,-2.6191846726782417,-146.48986657289768
