samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
6_days,5,GHI_season_d1,10,0,19,37.32091628142766,167.9253861584137,0.46926439178944657,145.24893219335087,0.40589545978164354,-2.443346991885386,-141.86015945319838
6_days,5,GHI_season_d1,10,1,23,31.0737926408447,146.66977446646462,0.409865977285724,122.19174620380674,0.3414625791595765,-1.6268140256688537,-116.22943380428197
6_days,5,GHI_season_d1,10,2,19,35.022439546214144,160.54829084036837,0.44864923510116844,137.00243805204983,0.3828507841305048,-2.1474544319525948,-133.1174210472869
6_days,5,GHI_season_d1,10,3,19,36.01631080494239,163.66627903158437,0.4573623955448036,140.55329040874884,0.3927735754940963,-2.270894192873703,-136.89206397437647
6_days,5,GHI_season_d1,10,4,23,37.1378480596884,167.24536220532997,0.4673640774055032,144.55241771769937,0.4039490629367924,-2.4155153775493794,-141.08966149758143
6_days,5,GHI_season_d1,10,5,23,33.90242052240463,156.9805963628341,0.438679378741801,132.9963119261621,0.3716557386230729,-2.009123604209991,-128.92611598776512
6_days,5,GHI_season_d1,10,6,23,35.91690194381904,163.38991837545154,0.45659011079273903,140.2208910021456,0.3918446914882934,-2.2598573038357,-136.5752424663851
6_days,5,GHI_season_d1,10,7,23,35.391639191521236,161.7765397732309,0.45208155407110695,138.3616759265526,0.38664914927985755,-2.195796835205045,-134.61213727525256
6_days,5,GHI_season_d1,10,8,23,33.855695012934625,156.77391905503677,0.43810182282033544,132.82670085771295,0.37118176362323896,-2.0012053241417402,-128.8005787536792
6_days,5,GHI_season_d1,10,9,23,32.878409406928476,153.5063899226303,0.42897077297700476,129.32595995001688,0.36139900777885037,-1.8774050057171237,-125.31668898646917
