samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
6_hours,4,GHI_season_d1_d2,15,0,18,216.41274221700516,205.30957990826965,0.7545594796069732,179.5299409154338,0.6598134332141018,-0.04172287317230672,-40.93401524081979
6_hours,4,GHI_season_d1_d2,15,1,18,197.18563297273477,210.3998315941376,0.7732673142091049,180.16852998919947,0.6621603935429798,-0.09401820037618025,-61.66259208449966
6_hours,4,GHI_season_d1_d2,15,2,18,210.04664503438656,206.76507243660436,0.7599087462376037,179.6965698076151,0.6604258323541127,-0.05654531151990594,-47.81650044408515
6_hours,4,GHI_season_d1_d2,15,3,19,205.32001632876282,208.02657485773565,0.7645450550296098,179.87927834647178,0.6610973278589062,-0.06947689959575065,-52.94311023517663
6_hours,4,GHI_season_d1_d2,15,4,18,202.72863420636926,208.8099773877708,0.7674242378015497,180.041239084277,0.6616925704680902,-0.07754710402688914,-55.83090006625756
6_hours,4,GHI_season_d1_d2,15,5,19,211.85705895216697,206.34154083658046,0.7583521711189273,179.68903100364633,0.6603981255320439,-0.052221350822554635,-45.872112734518105
6_hours,4,GHI_season_d1_d2,15,6,17,192.58809565177577,211.98846179283817,0.7791058921096344,180.4997400011188,0.6633776657927508,-0.11060140495194348,-66.82787106480001
6_hours,4,GHI_season_d1_d2,15,7,14,205.60386453816918,207.92998146091995,0.7641900522904911,179.81518413214556,0.6608617670193709,-0.06848394547104486,-52.54801199760788
6_hours,4,GHI_season_d1_d2,15,8,16,189.0358755556201,213.24262445963885,0.7837152256323391,180.69146435689893,0.6640822964787133,-0.12378132106222717,-70.69184776476754
6_hours,4,GHI_season_d1_d2,15,9,19,204.7001443196263,208.18861918096144,0.7651406048342566,179.8946199269731,0.6611537116623536,-0.07114370739100861,-53.58346360212981
