samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
7_days,2,GHI,10,0,20,21.26908840534238,81.76951447734804,0.22485583771979653,68.43611579181919,0.1881906752781489,0.08037474772768105,17.613092104701927
7_days,2,GHI,10,1,19,22.868154862289284,85.45514750562762,0.23499086306999759,71.91550141123878,0.19775854630203196,-0.004394917488726557,30.329503827562903
7_days,2,GHI,10,2,19,19.691456297537645,79.9048139133581,0.21972814667145737,66.01603223442996,0.1815357511401389,0.12183941815025023,1.9221685693893473
7_days,2,GHI,10,3,19,18.732896308554835,80.84845215726708,0.22232303266527564,65.14196626029064,0.1791321801015471,0.10097561919533038,-10.166323163407123
7_days,2,GHI,10,4,18,19.76359358338449,79.90303718639592,0.21972326089670338,65.83448896601217,0.1810365300800239,0.12187847047163003,4.891485977609685
7_days,2,GHI,10,5,19,18.822682402375808,80.56300935787041,0.22153810101697535,65.1571166244146,0.1791738416894705,0.10731258716395686,-8.846596649094371
7_days,2,GHI,10,6,19,19.433040994930952,79.78801237360769,0.21940695718861147,65.62100127103723,0.18044946588130278,0.12440485911514676,-0.2307206727109019
7_days,2,GHI,10,7,12,25.497676268072023,93.31572189370965,0.2566064498848196,78.46595718190292,0.21577147238057912,-0.19767143164148804,48.239407282562084
7_days,2,GHI,10,8,0,19.690386944384976,77.73350603126107,0.2137573242213403,63.75698547461713,0.1753236578572979,0.16891668667413906,18.21535196975698
7_days,2,GHI,10,9,12,25.422543105841978,92.94562670399826,0.2555887348543399,78.38943349729503,0.21556104191247746,-0.1881902114315226,47.72260464283333
