samplingFrequency,accuracy,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE,maxNormError
15_minutes,50.037244,23.114405,79.440000,0.215600,50.040000,0.135800,0.910000,0.004138,1.594096
30_minutes,66.647429,34.460131,93.070000,0.257500,66.650000,0.184400,0.870000,0.046301,1.722154
45_minutes,83.055855,43.177417,108.980000,0.303100,83.060000,0.231000,0.820000,0.058751,1.468474
1_hour,98.329583,54.814131,124.480000,0.356400,98.330000,0.281600,0.760000,0.038327,1.913365
2_hours,154.170072,90.499979,187.000000,0.565900,154.170000,0.466600,0.430000,0.012591,1.807656
4_hours,208.921731,114.745667,265.920000,0.824100,208.920000,0.647500,-0.400000,-0.299912,2.114744
6_hours,202.746162,231.334551,267.330000,0.982500,202.750000,0.745100,-0.770000,-0.295447,2.201131
12_hours,89.253696,36.716694,125.860000,0.347600,89.250000,0.246500,0.230000,0.671947,1.346809
24_hours,105.453443,46.019015,146.720000,0.404100,105.450000,0.290400,-0.160000,1.674083,1.200097
48_hours,89.755542,29.523625,114.720000,0.314800,89.760000,0.246300,-0.100000,2.660777,0.793650
72_hours,90.759714,30.200351,116.600000,0.321600,90.760000,0.250300,-0.270000,4.583584,0.843885
4_days,77.083339,23.380014,104.100000,0.287300,77.080000,0.212700,-0.150000,5.889697,0.777308
5_days,72.966019,22.445711,93.060000,0.258900,72.970000,0.203000,-0.100000,6.675528,0.723736
6_days,74.072559,21.702640,95.990000,0.268300,74.070000,0.207000,-0.130000,9.300601,0.642532
7_days,81.017747,23.695329,95.230000,0.261900,81.020000,0.222800,-0.250000,7.587210,0.535695
